  TRADE LOG — 3x 15% max5
================================================================================
          Date       Symbol               Signal   Alloc$     PnL%      PnL$     Equity
    2023-12-25      SOLUSDT    liq_short_squeeze $    204   -24.0%      -49$ $    1,359
    2023-12-25     ATOMUSDT           fund_spike $    204   -11.1%      -23$ $    1,337
    2023-12-26      DOTUSDT           fund_spike $    200    +0.0%       +0$ $    1,337
    2023-12-26     NEARUSDT           fund_spike $    200    +0.0%       +0$ $    1,337
    2023-12-26      ARBUSDT           fund_spike $    200    +0.0%       +0$ $    1,337
    2023-12-28      ADAUSDT             overheat $    200    +0.0%       +0$ $    1,337
    2023-12-28     AVAXUSDT             overheat $    200    +0.0%       +0$ $    1,337
    2023-12-22      SOLUSDT    liq_short_squeeze $    200   +17.4%      +35$ $    1,371
    2023-12-28     AAVEUSDT           fund_spike $    200    +1.8%       +4$ $    1,375
    2023-12-29       OPUSDT           fund_spike $    200    +3.6%       +7$ $    1,382
    2023-12-31     AVAXUSDT             overheat $    207    -8.4%      -17$ $    1,365
    2023-12-31     ATOMUSDT             overheat $    207    -4.6%       -9$ $    1,355
    2024-01-01     NEARUSDT         distribution $    203    -9.0%      -18$ $    1,337
    2023-12-29      SOLUSDT       div_squeeze_3d $    200   -24.0%      -48$ $    1,289
    2024-01-01      FILUSDT           fund_spike $    203    +0.0%       +0$ $    1,289
    2024-01-01      UNIUSDT           fund_spike $    203   +56.0%     +114$ $    1,403
    2024-01-02      SOLUSDT           fund_spike $    193   +44.2%      +86$ $    1,488
    2024-01-03      ARBUSDT           fund_spike $    223    +0.0%       +0$ $    1,488
    2024-01-03       OPUSDT        overextension $    223    +0.0%       +0$ $    1,488
    2024-01-12      SUIUSDT    liq_short_squeeze $    223   -24.0%      -54$ $    1,435
    2023-12-24      XRPUSDT     oi_buildup_stall $    204   +46.5%      +95$ $    1,530
    2024-01-23     AVAXUSDT           div_top_1d $    229   -24.0%      -55$ $    1,474
    2024-01-18      SOLUSDT     oi_buildup_stall $    223   -24.0%      -54$ $    1,421
    2024-02-09      SOLUSDT    liq_short_squeeze $    213    +7.1%      +15$ $    1,436
    2024-02-11     LINKUSDT    liq_short_squeeze $    215    -0.6%       -1$ $    1,435
    2024-01-18      DOTUSDT       div_squeeze_3d $    223   -24.0%      -54$ $    1,381
    2024-01-31      XRPUSDT       div_squeeze_3d $    213   -24.0%      -51$ $    1,330
    2024-02-12      BTCUSDT    liq_short_squeeze $    215   +12.3%      +27$ $    1,356
    2024-02-15      BNBUSDT    liq_short_squeeze $    199    +5.1%      +10$ $    1,366
    2024-02-18      ADAUSDT           fund_spike $    205    -9.7%      -20$ $    1,346
    2024-02-20      BTCUSDT        overextension $    202    +3.7%       +7$ $    1,354
    2024-02-20     LINKUSDT             overheat $    202    +8.2%      +16$ $    1,370
    2024-02-21      SOLUSDT             overheat $    203    +0.0%       +0$ $    1,370
    2024-02-20      FILUSDT           fund_spike $    202    +4.5%       +9$ $    1,379
    2024-02-23      FILUSDT           fund_spike $    207    +0.0%       +0$ $    1,379
    2024-02-25      UNIUSDT           fund_spike $    207    +0.0%       +0$ $    1,379
    2024-02-26      ETHUSDT           fund_spike $    207    -7.4%      -15$ $    1,364
    2024-02-26     AAVEUSDT           fund_spike $    207    -6.2%      -13$ $    1,351
    2024-02-26      ADAUSDT           fund_spike $    207    -4.2%       -9$ $    1,343
    2024-02-26      SOLUSDT             overheat $    207    +0.5%       +1$ $    1,344
    2024-02-27      WIFUSDT           fund_spike $    201    +0.0%       +0$ $    1,344
    2024-02-27      SUIUSDT             overheat $    201    -9.6%      -19$ $    1,324
    2024-02-26      BNBUSDT    liq_short_squeeze $    207    +9.7%      +20$ $    1,344
    2024-02-28     DOGEUSDT           fund_spike $    199   -21.9%      -43$ $    1,301
    2024-02-28      ARBUSDT           fund_spike $    199   -14.3%      -28$ $    1,273
    2024-02-28      BTCUSDT           fund_spike $    199    +0.0%       +0$ $    1,273
    2024-02-28      FILUSDT        overextension $    199    +0.0%       +0$ $    1,273
    2024-02-29      BNBUSDT           fund_spike $    191   -10.8%      -21$ $    1,252
    2024-03-01      UNIUSDT           fund_spike $    191   -24.9%      -48$ $    1,204
    2024-03-01      ADAUSDT           fund_spike $    191   -17.8%      -34$ $    1,170
    2024-03-01      SOLUSDT           fund_spike $    191    +0.0%       +0$ $    1,170
    2024-03-02     NEARUSDT           fund_spike $    176   +30.0%      +53$ $    1,223
    2024-03-02      XRPUSDT           fund_spike $    176   +16.2%      +28$ $    1,251
    2024-03-02      DOTUSDT           fund_spike $    176   +16.0%      +28$ $    1,279
    2024-02-29      ETHUSDT           fund_spike $    191   -13.8%      -26$ $    1,253
    2024-03-03     DOGEUSDT           fund_spike $    192    +0.0%       +0$ $    1,253
    2024-03-03      ETHUSDT           fund_spike $    192    +0.0%       +0$ $    1,253
    2024-03-03      FILUSDT           fund_spike $    192    +0.0%       +0$ $    1,253
    2024-03-04      SUIUSDT             overheat $    188    +0.0%       +0$ $    1,253
    2024-03-04      BTCUSDT           fund_spike $    188    +5.3%      +10$ $    1,263
    2024-03-04      WIFUSDT           fund_spike $    188  -100.0%     -188$ $    1,075
    2024-03-05      SOLUSDT        overextension $    161    +0.0%       +0$ $    1,075
    2024-03-05      ADAUSDT           fund_spike $    161    +0.0%       +0$ $    1,075
    2024-03-05      DOTUSDT           fund_spike $    161    +0.0%       +0$ $    1,075
    2024-03-05      UNIUSDT           fund_spike $    161    +0.0%       +0$ $    1,075
    2024-03-05     AVAXUSDT       vol_divergence $    161    +0.0%       +0$ $    1,075
    2024-03-06     DOGEUSDT    liq_short_squeeze $    161   -10.2%      -17$ $    1,059
    2024-03-07      BTCUSDT           fund_spike $    159   -10.5%      -17$ $    1,042
    2024-03-07     NEARUSDT           fund_spike $    159    +0.0%       +0$ $    1,042
    2024-03-08     DOGEUSDT           fund_spike $    156   -23.7%      -37$ $    1,005
    2024-03-07      ETHUSDT           fund_spike $    159    -7.6%      -12$ $      993
    2024-03-08      SOLUSDT           fund_spike $    156    +0.0%       +0$ $      993
    2024-03-09      UNIUSDT           fund_spike $    151    +0.9%       +1$ $      994
    2024-03-08      FILUSDT           fund_spike $    156   +24.7%      +39$ $    1,033
    2024-03-09      SUIUSDT             overheat $    151    +6.4%      +10$ $    1,042
    2024-03-10      BTCUSDT           fund_spike $    149    +3.1%       +5$ $    1,047
    2024-03-11      LTCUSDT           fund_spike $    157   +17.6%      +28$ $    1,075
    2024-03-11      ADAUSDT           fund_spike $    157   +13.5%      +21$ $    1,096
    2024-03-12      DOTUSDT           fund_spike $    164   -13.9%      -23$ $    1,073
    2024-03-12     DOGEUSDT           fund_spike $    164    +0.0%       +0$ $    1,073
    2024-03-12     AVAXUSDT           fund_spike $    164    +0.0%       +0$ $    1,073
    2024-03-11      XRPUSDT           fund_spike $    157    +7.9%      +12$ $    1,086
    2024-03-13      SOLUSDT           fund_spike $    161   -14.3%      -23$ $    1,063
    2024-03-12      ETHUSDT        overextension $    164    +9.4%      +15$ $    1,078
    2024-03-13      BNBUSDT           fund_spike $    161   +14.5%      +23$ $    1,102
    2024-03-13      BTCUSDT           fund_spike $    161    +9.1%      +15$ $    1,116
    2024-03-14      XRPUSDT           fund_spike $    167   +13.8%      +23$ $    1,139
    2024-03-14       OPUSDT             overheat $    167   +25.1%      +42$ $    1,181
